prices,address,zip code,beds,baths,sqft,type
2995000, 548 Willow Brook Dr S Calgary AB T2J 1N7 ,T2J,6,6,4688,House
1999999, 18 S Spring Glen Vw SW Calgary AB T3H 6A1 ,T3H,6,6,4438,House
1749000, 85 N Slopes Poin SW Calgary AB T3H 3Y8 ,T3H,4,3,2533,House
1675000, 2027 N 49th Ave SW Calgary AB T2T 2V5 ,T2T,5,4,2631,House
1399900, 64 E Cranarch Hts SE Calgary AB T3M 0V6 ,T3M,3,4,2091,House
1385000, 208 W Aspen Dale Way SW Calgary AB T3H 0R9 ,T3H,4,4,2991,House
1238000, 182 W Grove Rise SW Calgary AB T3H 0S3 ,T3H,5,5,2881,House
1049000, 46 Chapala Cres SE Calgary AB T2X 3M4 ,T2X,5,4,2649,House
1049000, 936 S 7th Ave NE Calgary AB T2E 0N8 ,T2E,4,2,1152,House
999900, 35 S Cougarstone Poin SW Calgary AB T3H 4Z3 ,T3H,4,4,2353,House
998000, 303 S Aspen Meadows Hl SW Calgary AB T3H 0G3 ,T3H,3,4,2980,Townhouse
929900, 826 S 17th Ave SE Calgary AB T2G 1J3 ,T2G,4,2,1114,House
925900, 19 N Auburn Sound Mnr SE Calgary AB T3M 0G5 ,T3M,3,3,1705,House
925000, 111 N Sienna Park Ter SW Calgary AB T3H 3L3 ,T3H,4,4,2411,House
900000, 52 N Walcrest Vw SE Calgary AB T2X 4G3 ,T2X,4,3,2843,House
899900, 27 NW Mahogany Park SE Calgary AB T3M 2J9 ,T3M,3,4,2431,House
880000, 26 NW Chapala Ct SE Calgary AB T2X 3M5 ,T2X,5,4,2312,House
869000, 73 SW Cranarch Cmn SE Calgary AB T3M 1M1 ,T3M,4,4,2635,House
850000, 80 E Wentworth Cres SW Calgary AB T3H 5V2 ,T3H,4,1,3359,House
850000, 40 W Cougar Ridge Mnr SW Calgary AB T3H 0V3 ,T3H,5,5,2571,House
825000, 826 S 19th Ave NW Calgary AB T2M 0Z3 ,T2M,4,5,1789,House
800000, 23 E Mahogany Way SE Calgary AB T3M 1N4 ,T3M,3,3,2305,House
800000, 1617 SE Strathcona Dr SW Calgary AB T3H 5B1 ,T3H,5,4,2293,House
